Appendix D  -  The CO124 population

Data concerning a population of 124 countries (the CO124 population) 
are given in the following table.  

The columns in the table are:
LABEL:		The countries are labelled from 1 to 124.
COUNTRY:	The abbrievations are those of the International 
                Olympic Committee (except for a few countries).
P83:	1983 population (in millions).
IMP:    1983 imports (millions of US  $).
EXP:	1983 exports (millions of US  $).
GNP:	1982 gross national product (tens of millions of US $). 
MEX:	1981 military expenditures (millions of  US  $).
P80:	1980 population (in millions).
CONT:	1 = Africa,  2 = America, North & Central  3 =  South  America, 
        4 = Asia (non-Soviet part),  5 = Europe (non-Soviet part),  
	6 = Oceania and 7 = USSR


======================================================================
LABEL	COUNTRY	P83	IMP	EXP	GNP	MEX	P80	CONT
70	PRK	19.1	1880	1520	1750	3424	17.9	4
71	YMD	2.1	1527	779	93	115	2	4
72	IND	730	13562	8304	18413	3991	663.6	4
73	INA	159.4	16352	21146	8945	1426	146.4	4
74	IRN	42	11539	19438	6970	5092	38.3	4
75	IRQ	14.6	20500	10230	2710	3759	13.2	4
76	ISR	4	8587	5112	2121	2750	3.9	4
77	JPN	117.1	126395	146676	119000	9461	116.8	4
78	JOR	3.2	3030	579	419	420	2.9	4
79	KUW	1.6	6980	11140	3044	2031	1.4	4
80	LAO	4.2	125	33	32	21	3.9	4
81	MAL	15.2	13987	13917	2681	1639	13.9	4
82	MGL	1.8	655	436	165	238	1.6	4
83	NEP	15.7	342	80	247	28	14	4
84	OMA	1.1	2492	4058	687	1444	1	4
85	PAK	92.9	5341	3149	3302	1307	82.6	4
86	PHI	51.9	7980	5005	4168	688	48.1	4
87	QAT	.2	1456	3384	595	893	.2	4
88	KOR	40.5	26192	24445	7509	3519	38.1	4
89	KSA	10.4	39206	46941	15638	22458	9.2	4
90	SIN	2.5	28712	24108	1478	556	2.4	4
91	SRI	15.4	1786	1123	491	35	14.7	4
92	SYR	10.4	4542	1900	1589	2166	8.7	4
93	THA	49.4	9159	6368	3853	1036	46.5	4
94	TUR	47.2	9348	5694	6315	3442	44.4	4
95	UAE	1.1	9414	17257	2917	1423	1	4
96	YAR	6.2	1521	39	371	320	5.8	4
97	ALB	2.8	250	200	266	127	2.6	5
98	AUT	7.5	19368	15428	7447	847	7.5	5
99	BEL	9.8	55269	51929	10388	3690	9.8	5
100	BUL	8.9	12164	12130	4603	964	8.9	5
101	TCH	15.4	16325	16522	8514	2900	15.3	5
102	DEN	5.1	16946	16221	6314	1546	5.1	5
103	FIN	4.8	12854	12530	5235	632	4.8	5
104	FRA	55	103734	93310	62731	23633	53.7	5
105	GDR	16.7	21254	23793	11727	4394	16.7	5
106	FRG	61	152899	169425	75709	25509	61.6	5
107	GRE	9.8	9632	4459	4089	2184	9.6	5
108	HUN	10.6	8503	8696	5542	810	10.7	5
109	IRL	3.5	9182	8612	1757	246	3.4	5
110	ITA	56.8	80367	72681	38223	8184	56.4	5
111	HOL	14.3	60743	64816	15428	4931	14.1	5
112	NOR	4.1	13890	18920	5884	1484	4.1	5
113	POL	36.5	10179	11478	14561	2467	35.6	5
114	POR	10.1	8134	4566	2472	779	9.9	5
115	ROM	22.7	9836	11714	7109	1285	22.2	5
116	ESP	38.2	28812	23544	20424	3682	37.4	5
117	SWE	8.3	25046	26313	11541	3175	8.3	5
118	SUI	6.4	29475	25865	10856	2000	6.4	5
119	GBR	55.7	105477	94562	53673	19901	55.9	5
120	YUG	22.8	11104	9038	7053	2936	22.3	5
121	AUS	15.3	19393	20594	16904	3508	14.7	6
122	FIJ	.6	484	240	128	4	.6	6
123	NZL	3.3	5283	5272	2539	393	3.1	6
124	URS	277.4	80410	91336	156300	118800	265.5	7
